,R_0,R_1,R_2,R_3,R_4,City_State,County_Name,Secondary_Name,State
111,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Glenburn town,ME
112,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Hampden town,ME
113,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Hermon town,ME
114,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Holden town,ME
115,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Kenduskeag town,ME
116,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Milford town,ME
117,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Old Town city,ME
118,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Orono town,ME
119,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Orrington town,ME
120,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Penobscot Indian Island Reservation,ME
121,667,778,987,1230,1707,"Bangor, ME HUD Metro FMR Area",Penobscot County,Veazie town,ME
122,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Alton town,ME
123,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Argyle UT,ME
124,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Bradford town,ME
125,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Bradley town,ME
126,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Burlington town,ME
127,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Carmel town,ME
128,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Carroll plantation,ME
129,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Charleston town,ME
130,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Chester town,ME
131,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Clifton town,ME
132,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Corinna town,ME
133,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Corinth town,ME
134,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Dexter town,ME
135,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Dixmont town,ME
136,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Drew plantation,ME
137,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,East Central Penobscot UT,ME
138,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,East Millinocket town,ME
139,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Edinburg town,ME
140,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Enfield town,ME
141,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Etna town,ME
142,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Exeter town,ME
143,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Garland town,ME
144,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Greenbush town,ME
145,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Howland town,ME
146,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Hudson town,ME
147,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Kingman UT,ME
148,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Lagrange town,ME
149,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Lakeville town,ME
150,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Lee town,ME
151,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Levant town,ME
152,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Lincoln town,ME
153,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Lowell town,ME
154,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Mattawamkeag town,ME
155,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Maxfield town,ME
156,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Medway town,ME
157,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Millinocket town,ME
158,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Mount Chase town,ME
159,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Newburgh town,ME
160,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Newport town,ME
161,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,North Penobscot UT,ME
162,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Passadumkeag town,ME
163,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Patten town,ME
164,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Plymouth town,ME
165,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Prentiss UT,ME
166,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Seboeis plantation,ME
167,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Springfield town,ME
168,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Stacyville town,ME
169,607,671,884,1102,1198,"Penobscot County, ME (part) HUD Metro FMR Area",Penobscot County,Stetson town,ME
